Time_s,Signal_A,Signal_B
1.3,0.96355819,0.1604993
1.31,0.96618495,0.15471002
1.32,0.9687151,0.14890527
1.33,0.97114838,0.14308563
1.34,0.97348454,0.13725168
1.35,0.97572336,0.13140401
1.36,0.9778646,0.1255432
1.37,0.97990806,0.11966983
1.38,0.98185353,0.1137845
1.39,0.98370081,0.10788779
1.4,0.98544973,0.10198029
1.41,0.9871001,0.09606259
1.42,0.98865176,0.09013528
1.43,0.99010456,0.08419896
1.44,0.99145835,0.07825423
1.45,0.99271299,0.07230166
1.46,0.99386836,0.06634187
1.47,0.99492435,0.06037544
1.48,0.99588084,0.05440297
1.49,0.99673775,0.04842507
1.5,0.99749499,0.04244232
1.51,0.99815247,0.03645533
1.52,0.99871014,0.03046469
1.53,0.99916795,0.02447101
1.54,0.99952583,0.01847488
1.55,0.99978376,0.0124769
1.56,0.99994172,0.00647767
1.57,0.99999968,0.0004778
1.58,0.99995765,-0.00552213
1.59,0.99981562,-0.0115215
1.6,0.9995736,-0.01751971
1.61,0.99923163,-0.02351618
1.62,0.99878974,-0.02951029
1.63,0.99824797,-0.03550146
1.64,0.99760638,-0.04148907
1.65,0.99686503,-0.04747253
1.66,0.99602399,-0.05345125
1.67,0.99508335,-0.05942462
1.68,0.9940432,-0.06539205
1.69,0.99290365,-0.07135294
1.7,0.99166481,-0.0773067
1.71,0.9903268,-0.08325272
1.72,0.98888977,-0.08919042
1.73,0.98735384,-0.0951192
1.74,0.98571918,-0.10103847
1.75,0.98398595,-0.10694763
1.76,0.98215432,-0.1128461
1.77,0.98022447,-0.11873329
1.78,0.97819661,-0.1246086
1.79,0.97607092,-0.13047145
1.8,0.97384763,-0.13632126
1.81,0.97152696,-0.14215743
1.82,0.96910913,-0.14797939
1.83,0.96659439,-0.15378654
1.84,0.963983,-0.15957833
1.85,0.9612752,-0.16535415
1.86,0.95847128,-0.17111344
1.87,0.95557152,-0.17685561
1.88,0.95257619,-0.1825801
1.89,0.94948561,-0.18828634
1.9,0.94630009,-0.19397374
1.91,0.94301993,-0.19964175
1.92,0.93964547,-0.20528979
1.93,0.93617705,-0.21091731
1.94,0.93261501,-0.21652373
1.95,0.92895972,-0.2221085
1.96,0.92521152,-0.22767106
1.97,0.92137081,-0.23321085
1.98,0.91743796,-0.23872732
1.99,0.91341336,-0.24421992
2.0,0.90929743,-0.2496881
2.01,0.90509056,-0.25513131
2.02,0.90079319,-0.26054901
2.03,0.89640574,-0.26594065
2.04,0.89192865,-0.2713057
2.05,0.88736237,-0.27664361
2.06,0.88270735,-0.28195387
2.07,0.87796406,-0.28723593
2.08,0.87313298,-0.29248926
2.09,0.86821458,-0.29771335
2.1,0.86320937,-0.30290766
2.11,0.85811783,-0.30807169
2.12,0.85294048,-0.31320491
2.13,0.84767784,-0.3183068
2.14,0.84233043,-0.32337687
2.15,0.83689879,-0.3284146
2.16,0.83138346,-0.33341949
2.17,0.82578499,-0.33839103
2.18,0.82010395,-0.34332874
2.19,0.81434089,-0.34823212
2.2,0.8084964,-0.35310067
2.21,0.80257107,-0.35793391
2.22,0.79656547,-0.36273136
2.23,0.79048022,-0.36749254
2.24,0.78431593,-0.37221697
2.25,0.7780732,-0.37690417
2.26,0.77175266,-0.38155369
2.27,0.76535495,-0.38616505
2.28,0.75888071,-0.3907378
2.29,0.75233058,-0.39527147
2.3,0.74570521,-0.39976561
2.31,0.73900528,-0.40421978
2.32,0.73223144,-0.40863353
2.33,0.72538439,-0.41300641
2.34,0.71846479,-0.417338
2.35,0.71147335,-0.42162785
2.36,0.70441077,-0.42587553
2.37,0.69727774,-0.43008063
2.38,0.69007498,-0.43424273
2.39,0.68280322,-0.4383614
2.4,0.67546318,-0.44243623
2.41,0.66805559,-0.44646682
2.42,0.6605812,-0.45045276
2.43,0.65304075,-0.45439366
2.44,0.645435,-0.45828912
2.45,0.6377647,-0.46213875
2.46,0.63003063,-0.46594217
2.47,0.62223356,-0.46969899
2.48,0.61437426,-0.47340885
2.49,0.60645352,-0.47707136
2.5,0.59847214,-0.48068617
2.51,0.59043092,-0.48425291
2.52,0.58233065,-0.48777122
2.53,0.57417215,-0.49124076
2.54,0.56595623,-0.49466117
2.55,0.55768372,-0.49803212
2.56,0.54935544,-0.50135327
2.57,0.54097222,-0.50462428
2.58,0.53253491,-0.50784482
2.59,0.52404434,-0.51101459
2.6,0.51550137,-0.51413325
2.61,0.50690685,-0.5172005
2.62,0.49826164,-0.52021603
2.63,0.48956661,-0.52317954
2.64,0.48082261,-0.52609073
2.65,0.47203054,-0.52894932
2.66,0.46319126,-0.53175501
2.67,0.45430567,-0.53450752
2.68,0.44537464,-0.53720658
2.69,0.43639908,-0.53985193
2.7,0.42737988,-0.54244329
2.71,0.41831794,-0.5449804
2.72,0.40921417,-0.54746302
2.73,0.40006948,-0.54989089
2.74,0.39088478,-0.55226377
2.75,0.38166099,-0.55458143
2.76,0.37239904,-0.55684363
2.77,0.36309985,-0.55905014
2.78,0.35376435,-0.56120075
2.79,0.34439347,-0.56329524
2.8,0.33498815,-0.5653334
2.81,0.32554933,-0.56731503
2.82,0.31607796,-0.56923993
2.83,0.30657499,-0.57110791
2.84,0.29704135,-0.57291877
2.85,0.28747801,-0.57467234
2.86,0.27788593,-0.57636845
2.87,0.26826605,-0.57800692
2.88,0.25861935,-0.57958759
2.89,0.24894679,-0.5811103
2.9,0.23924933,-0.5825749
2.91,0.22952795,-0.58398124
2.92,0.21978361,-0.58532919
2.93,0.2100173,-0.5866186
2.94,0.20022998,-0.58784935
2.95,0.19042265,-0.58902132
2.96,0.18059627,-0.59013439
2.97,0.17075183,-0.59118844
2.98,0.16089031,-0.59218338
2.99,0.15101271,-0.59311909
3.0,0.14112001,-0.5939955
3.01,0.13121319,-0.5948125
3.02,0.12129326,-0.59557003
3.03,0.11136119,-0.596268
3.04,0.10141799,-0.59690634
3.05,0.09146464,-0.59748499
3.06,0.08150215,-0.5980039
3.07,0.07153151,-0.598463
3.08,0.06155372,-0.59886226
3.09,0.05156977,-0.59920164
3.1,0.04158066,-0.59948109
3.11,0.0315874,-0.5997006
3.12,0.02159098,-0.59986013
3.13,0.01159239,-0.59995968
3.14,0.00159265,-0.59999924
3.15,-0.00840725,-0.5999788
3.16,-0.01840631,-0.59989835
3.17,-0.02840353,-0.59975792
3.18,-0.0383979,-0.59955752
3.19,-0.04838844,-0.59929716
3.2,-0.05837414,-0.59897687
3.21,-0.06835401,-0.59859668
3.22,-0.07832703,-0.59815663
3.23,-0.08829223,-0.59765677
3.24,-0.09824859,-0.59709714
3.25,-0.10819513,-0.59647781
3.26,-0.11813086,-0.59579882
3.27,-0.12805476,-0.59506026
3.28,-0.13796587,-0.59426219
3.29,-0.14786317,-0.5934047
3.3,-0.15774569,-0.59248786
3.31,-0.16761244,-0.59151178
3.32,-0.17746242,-0.59047655
3.33,-0.18729466,-0.58938227
3.34,-0.19710817,-0.58822905
3.35,-0.20690197,-0.58701701
3.36,-0.21667508,-0.58574627
3.37,-0.22642652,-0.58441695
3.38,-0.23615532,-0.58302919
3.39,-0.2458605,-0.58158313
3.4,-0.2555411,-0.58007892
3.41,-0.26519615,-0.57851669
3.42,-0.27482467,-0.57689661
3.43,-0.28442571,-0.57521885
3.44,-0.29399831,-0.57348356
3.45,-0.30354151,-0.57169093
3.46,-0.31305436,-0.56984113
3.47,-0.3225359,-0.56793434
3.48,-0.33198519,-0.56597076
3.49,-0.34140128,-0.56395058
3.5,-0.35078323,-0.56187401
3.51,-0.3601301,-0.55974125
3.52,-0.36944096,-0.55755252
3.53,-0.37871487,-0.55530804
3.54,-0.38795092,-0.55300802
3.55,-0.39714817,-0.5506527
3.56,-0.4063057,-0.54824232
3.57,-0.41542261,-0.54577712
3.58,-0.42449797,-0.54325733
3.59,-0.43353088,-0.54068323
3.6,-0.44252044,-0.53805505
3.61,-0.45146575,-0.53537307
3.62,-0.46036591,-0.53263755
3.63,-0.46922004,-0.52984877
3.64,-0.47802725,-0.527007
3.65,-0.48678665,-0.52411254
3.66,-0.49549737,-0.52116566
3.67,-0.50415855,-0.51816667
3.68,-0.51276931,-0.51511586
3.69,-0.52132879,-0.51201354
3.7,-0.52983614,-0.50886002
3.71,-0.53829051,-0.50565561
3.72,-0.54669105,-0.50240064
3.73,-0.55503692,-0.49909543
3.74,-0.56332728,-0.49574031
3.75,-0.57156132,-0.49233561
3.76,-0.5797382,-0.48888169
3.77,-0.5878571,-0.48537887
3.78,-0.59591722,-0.48182752
3.79,-0.60391775,-0.47822798
3.8,-0.61185789,-0.47458063
3.81,-0.61973684,-0.47088581
3.82,-0.62755382,-0.46714391
3.83,-0.63530805,-0.46335529
3.84,-0.64299874,-0.45952034
3.85,-0.65062514,-0.45563944
3.86,-0.65818647,-0.45171297
3.87,-0.66568199,-0.44774133
3.88,-0.67311093,-0.44372492
3.89,-0.68047257,-0.43966413
3.9,-0.68776616,-0.43555938
3.91,-0.69499097,-0.43141108
3.92,-0.70214629,-0.42721963
3.93,-0.70923139,-0.42298546
3.94,-0.71624557,-0.418709
3.95,-0.72318812,-0.41439066
3.96,-0.73005836,-0.41003088
3.97,-0.73685559,-0.4056301
3.98,-0.74357914,-0.40118876
3.99,-0.75022833,-0.3967073
4.0,-0.7568025,-0.39218617
4.01,-0.76330098,-0.38762582
4.02,-0.76972314,-0.38302671
4.03,-0.77606833,-0.3783893
4.04,-0.78233591,-0.37371405
4.05,-0.78852525,-0.36900143
4.06,-0.79463575,-0.3642519
4.07,-0.80066678,-0.35946596
4.08,-0.80661775,-0.35464406
4.09,-0.81248805,-0.3497867
4.1,-0.81827711,-0.34489437
4.11,-0.82398434,-0.33996754
4.12,-0.82960917,-0.33500672
4.13,-0.83515105,-0.3300124
4.14,-0.8406094,-0.32498508
4.15,-0.8459837,-0.31992525
4.16,-0.8512734,-0.31483344
4.17,-0.85647797,-0.30971014
4.18,-0.8615969,-0.30455588
4.19,-0.86662967,-0.29937115
4.2,-0.87157577,-0.29415649
4.21,-0.87643472,-0.28891242
4.22,-0.88120603,-0.28363945
4.23,-0.88588921,-0.27833812
4.24,-0.89048381,-0.27300896
4.25,-0.89498936,-0.26765249
4.26,-0.89940541,-0.26226926
4.27,-0.90373152,-0.25685981
4.28,-0.90796726,-0.25142467
4.29,-0.9121122,-0.24596438
4.3,-0.91616594,-0.2404795
4.31,-0.92012805,-0.23497058
4.32,-0.92399816,-0.22943815
4.33,-0.92777586,-0.22388278
4.34,-0.93146079,-0.21830503
4.35,-0.93505258,-0.21270544
4.36,-0.93855086,-0.20708458
4.37,-0.94195528,-0.20144302
4.38,-0.94526551,-0.19578131
4.39,-0.94848122,-0.19010002
4.4,-0.95160207,-0.18439972
4.41,-0.95462777,-0.17868098
4.42,-0.95755801,-0.17294438
4.43,-0.96039249,-0.16719048
4.44,-0.96313093,-0.16141986
4.45,-0.96577306,-0.1556331
4.46,-0.96831861,-0.14983078
4.47,-0.97076734,-0.14401347
4.48,-0.97311898,-0.13818176
4.49,-0.97537332,-0.13233624
4.5,-0.97753012,-0.12647748
4.51,-0.97958916,-0.12060607
4.52,-0.98155025,-0.11472261
4.53,-0.98341319,-0.10882767
4.54,-0.98517778,-0.10292184
4.55,-0.98684386,-0.09700573
4.56,-0.98841125,-0.09107992
4.57,-0.98987981,-0.08514499
4.58,-0.99124937,-0.07920156
4.59,-0.99251981,-0.0732502
4.6,-0.993691,-0.06729152
4.61,-0.99476283,-0.0613261
4.62,-0.99573517,-0.05535456
4.63,-0.99660795,-0.04937748
4.64,-0.99738106,-0.04339547
4.65,-0.99805444,-0.03740911
4.66,-0.99862801,-0.03141901
4.67,-0.99910172,-0.02542577
4.68,-0.99947552,-0.01942999
4.69,-0.99974938,-0.01343227
4.7,-0.99992326,-0.0074332
4.71,-0.99999715,-0.00143339
4.72,-0.99997104,0.00456657
4.73,-0.99984493,0.01056607
4.74,-0.99961884,0.01656451
4.75,-0.99929279,0.02256129
4.76,-0.99886681,0.02855582
4.77,-0.99834094,0.03454749
4.78,-0.99771525,0.04053571
4.79,-0.99698978,0.04651988
4.8,-0.99616461,0.05249939
4.81,-0.99523983,0.05847365
4.82,-0.99421552,0.06444207
4.83,-0.99309179,0.07040404
4.84,-0.99186876,0.07635897
4.85,-0.99054654,0.08230627
4.86,-0.98912526,0.08824533
4.87,-0.98760507,0.09417557
4.88,-0.98598613,0.1000964
4.89,-0.98426858,0.10600721
4.9,-0.98245261,0.11190742
4.91,-0.9805384,0.11779644
4.92,-0.97852613,0.12367369
4.93,-0.97641601,0.12953856
4.94,-0.97420825,0.13539048
4.95,-0.97190307,0.14122887
4.96,-0.9695007,0.14705313
4.97,-0.96700138,0.15286268
4.98,-0.96440536,0.15865695
4.99,-0.9617129,0.16443535
5.0,-0.95892427,0.17019731
5.01,-0.95603975,0.17594225
5.02,-0.95305963,0.1816696
5.03,-0.9499842,0.18737878
5.04,-0.94681378,0.19306922
5.05,-0.94354867,0.19874035
5.06,-0.94018921,0.20439161
5.07,-0.93673573,0.21002243
5.08,-0.93318858,0.21563225
5.09,-0.92954811,0.22122051
5.1,-0.92581468,0.22678665
5.11,-0.92198868,0.2323301
5.12,-0.91807047,0.23785033
5.13,-0.91406047,0.24334676
5.14,-0.90995905,0.24881887
5.15,-0.90576664,0.25426609
5.16,-0.90148366,0.25968789
5.17,-0.89711052,0.26508371
5.18,-0.89264768,0.27045303
5.19,-0.88809557,0.27579531
5.2,-0.88345466,0.28111
5.21,-0.87872539,0.28639659
5.22,-0.87390826,0.29165453
5.23,-0.86900374,0.29688331
5.24,-0.86401232,0.3020824
5.25,-0.85893449,0.30725129
5.26,-0.85377078,0.31238944
5.27,-0.84852169,0.31749636
5.28,-0.84318774,0.32257154
5.29,-0.83776948,0.32761445
5.3,-0.83226744,0.3326246
5.31,-0.82668218,0.33760149
5.32,-0.82101425,0.34254462
5.33,-0.81526421,0.3474535
5.34,-0.80943266,0.35232763
5.35,-0.80352016,0.35716653
5.36,-0.7975273,0.36196971
5.37,-0.7914547,0.3667367
5.38,-0.78530295,0.37146701
5.39,-0.77907267,0.37616018
5.4,-0.77276449,0.38081573
5.41,-0.76637903,0.38543319
5.42,-0.75991693,0.39001212
5.43,-0.75337884,0.39455205
5.44,-0.74676541,0.39905252
5.45,-0.74007731,0.40351308
5.46,-0.7333152,0.4079333
5.47,-0.72647976,0.41231272
5.48,-0.71957167,0.41665091
5.49,-0.71259163,0.42094743
5.5,-0.70554033,0.42520186
5.51,-0.69841847,0.42941378
5.52,-0.69122677,0.43358275
5.53,-0.68396595,0.43770836
5.54,-0.67663674,0.4417902
5.55,-0.66923986,0.44582786
5.56,-0.66177605,0.44982095
5.57,-0.65424608,0.45376904
5.58,-0.64665067,0.45767177
5.59,-0.6389906,0.46152872
5.6,-0.63126664,0.46533953
5.61,-0.62347955,0.4691038
5.62,-0.61563011,0.47282116
5.63,-0.6077191,0.47649124
5.64,-0.59974733,0.48011366
5.65,-0.59171558,0.48368808
5.66,-0.58362466,0.48721413
5.67,-0.57547538,0.49069146
5.68,-0.56726855,0.49411972
5.69,-0.559005,0.49749857
5.7,-0.55068554,0.50082767
5.71,-0.54231102,0.50410669
5.72,-0.53388227,0.50733529
5.73,-0.52540013,0.51051317
5.74,-0.51686544,0.51363999
5.75,-0.50827908,0.51671545
5.76,-0.49964188,0.51973924
5.77,-0.49095472,0.52271105
5.78,-0.48221847,0.5256306
5.79,-0.473434,0.52849758
5.8,-0.46460218,0.53131171
5.81,-0.4557239,0.53407271
5.82,-0.44680005,0.53678031
5.83,-0.43783152,0.53943422
5.84,-0.42881921,0.5420342
5.85,-0.41976402,0.54457997
5.86,-0.41066685,0.54707128
5.87,-0.40152861,0.54950789
5.88,-0.39235022,0.55188954
5.89,-0.3831326,0.55421601
5.9,-0.37387666,0.55648706
5.91,-0.36458334,0.55870246
5.92,-0.35525356,0.56086199
5.93,-0.34588825,0.56296543
5.94,-0.33648836,0.56501258
5.95,-0.32705481,0.56700322
5.96,-0.31758857,0.56893717
5.97,-0.30809056,0.57081422
5.98,-0.29856174,0.57263419
5.99,-0.28900307,0.5743969
6.0,-0.2794155,0.57610217
6.01,-0.26979998,0.57774983
6.02,-0.26015749,0.57933972
6.03,-0.25048898,0.58087167
6.04,-0.24079543,0.58234554
6.05,-0.23107779,0.58376117
6.06,-0.22133704,0.58511842
6.07,-0.21157417,0.58641717
6.08,-0.20179013,0.58765727
6.09,-0.19198592,0.58883861
6.1,-0.1821625,0.58996106
6.11,-0.17232088,0.59102452
6.12,-0.16246202,0.59202888
6.13,-0.15258691,0.59297403
6.14,-0.14269654,0.59385989
6.15,-0.13279191,0.59468636
6.16,-0.122874,0.59545337
6.17,-0.11294379,0.59616083
6.18,-0.1030023,0.59680867
6.19,-0.0930505,0.59739683
6.2,-0.0830894,0.59792526
6.21,-0.07311999,0.59839389
6.22,-0.06314327,0.59880268
6.23,-0.05316024,0.5991516
6.24,-0.04317189,0.5994406
6.25,-0.03317922,0.59966965
6.26,-0.02318323,0.59983874
6.27,-0.01318493,0.59994785
6.28,-0.0031853,0.59999696
6.29,0.00681464,0.59998607
6.3,0.0168139,0.59991518
6.31,0.02681148,0.5997843
6.32,0.03680638,0.59959345
6.33,0.04679759,0.59934264
6.34,0.05678413,0.59903189
6.35,0.06676499,0.59866124
6.36,0.07673917,0.59823072
6.37,0.08670568,0.59774038
6.38,0.09666352,0.59719027
6.39,0.10661169,0.59658044
6.4,0.1165492,0.59591095
6.41,0.12647506,0.59518187
6.42,0.13638827,0.59439328
6.43,0.14628784,0.59354524
6.44,0.15617278,0.59263785
6.45,0.16604211,0.5916712
6.46,0.17589483,0.59064538
6.47,0.18572996,0.5895605
6.48,0.19554652,0.58841666
6.49,0.20534352,0.58721398
6.5,0.21511999,0.58595258
6.51,0.22487495,0.58463258
6.52,0.23460742,0.58325412
6.53,0.24431643,0.58181734
6.54,0.254001,0.58032237
6.55,0.26366018,0.57876938
6.56,0.27329299,0.5771585
6.57,0.28289848,0.57548992
6.58,0.29247567,0.57376378
6.59,0.30202362,0.57198027
6.6,0.31154136,0.57013956
6.61,0.32102795,0.56824183
6.62,0.33048244,0.56628728
6.63,0.33990388,0.56427611
6.64,0.34929133,0.56220851
6.65,0.35864385,0.56008468
6.66,0.36796051,0.55790485
6.67,0.37724037,0.55566923
6.68,0.38648251,0.55337804
6.69,0.395686,0.55103152
6.7,0.40484992,0.54862989
6.71,0.41397336,0.5461734
6.72,0.4230554,0.54366229
6.73,0.43209513,0.54109682
6.74,0.44109166,0.53847724
6.75,0.45004407,0.53580381
6.76,0.45895149,0.5330768
6.77,0.467813,0.53029648
6.78,0.47662774,0.52746313
6.79,0.48539482,0.52457704
6.8,0.49411335,0.52163849
6.81,0.50278248,0.51864778
6.82,0.51140132,0.51560521
6.83,0.51996903,0.51251107
6.84,0.52848474,0.50936568
6.85,0.5369476,0.50616936
6.86,0.54535677,0.50292242
6.87,0.5537114,0.49962518
6.88,0.56201067,0.49627799
6.89,0.57025373,0.49288117
6.9,0.57843976,0.48943506
6.91,0.58656796,0.48594001
6.92,0.59463749,0.48239636
6.93,0.60264757,0.47880448
6.94,0.61059738,0.47516471
6.95,0.61848613,0.47147743
6.96,0.62631303,0.467743
6.97,0.6340773,0.4639618
6.98,0.64177817,0.4601342
6.99,0.64941485,0.45626059
7.0,0.6569866,0.45234135
7.01,0.66449265,0.44837688
7.02,0.67193225,0.44436757
7.03,0.67930465,0.44031383
7.04,0.68660913,0.43621605
7.05,0.69384494,0.43207466
7.06,0.70101138,0.42789005
7.07,0.70810771,0.42366266
7.08,0.71513323,0.4193929
7.09,0.72208724,0.4150812
7.1,0.72896904,0.410728
7.11,0.73577794,0.40633372
7.12,0.74251327,0.40189881
7.13,0.74917435,0.39742371
7.14,0.75576051,0.39290887
7.15,0.76227109,0.38835474
7.16,0.76870545,0.38376177
7.17,0.77506294,0.37913042
7.18,0.78134292,0.37446117
7.19,0.78754477,0.36975447
7.2,0.79366786,0.36501079
7.21,0.79971159,0.36023061
7.22,0.80567535,0.35541441
7.23,0.81155854,0.35056267
7.24,0.81736058,0.34567587
7.25,0.82308088,0.3407545
7.26,0.82871887,0.33579906
7.27,0.83427399,0.33081004
7.28,0.83974569,0.32578794
7.29,0.84513341,0.32073326
7.3,0.85043662,0.31564651
7.31,0.85565479,0.31052819
7.32,0.86078739,0.30537882
7.33,0.86583391,0.30019892
7.34,0.87079385,0.29498899
7.35,0.87566671,0.28974956
7.36,0.88045201,0.28448116
7.37,0.88514926,0.27918432
7.38,0.889758,0.27385955
7.39,0.89427776,0.2685074
7.4,0.8987081,0.2631284
7.41,0.90304856,0.25772308
7.42,0.90729872,0.25229199
7.43,0.91145815,0.24683568
7.44,0.91552644,0.24135468
7.45,0.91950318,0.23584954
7.46,0.92338796,0.23032082
7.47,0.92718041,0.22476907
7.48,0.93088014,0.21919485
7.49,0.93448678,0.2135987
7.5,0.93799998,0.20798119
7.51,0.94141937,0.20234289
7.52,0.94474463,0.19668435
7.53,0.94797541,0.19100614
7.54,0.95111139,0.18530883
7.55,0.95415227,0.17959299
7.56,0.95709773,0.17385919
7.57,0.95994748,0.16810801
7.58,0.96270123,0.16234002
7.59,0.96535872,0.15655579
7.6,0.96791967,0.15075591
7.61,0.97038383,0.14494095
7.62,0.97275096,0.13911149
7.63,0.97502081,0.13326813
7.64,0.97719315,0.12741144
7.65,0.97926778,0.12154201
7.66,0.98124449,0.11566042
7.67,0.98312307,0.10976727
7.68,0.98490333,0.10386314
7.69,0.98658511,0.09794863
7.7,0.98816823,0.09202432
7.71,0.98965254,0.08609081
7.72,0.99103788,0.08014868
7.73,0.99232412,0.07419855
7.74,0.99351112,0.06824099
7.75,0.99459878,0.06227661
7.76,0.99558698,0.05630601
7.77,0.99647561,0.05032977
7.78,0.99726461,0.0443485
7.79,0.99795387,0.03836279
7.8,0.99854335,0.03237325
7.81,0.99903296,0.02638047
7.82,0.99942268,0.02038506
7.83,0.99971245,0.0143876
7.84,0.99990226,0.00838871
7.85,0.99999207,0.00238897
7.86,0.99998189,-0.003611
7.87,0.99987171,-0.00961061
7.88,0.99966154,-0.01560926
7.89,0.99935141,-0.02160635
7.9,0.99894134,-0.02760128
7.91,0.99843138,-0.03359344
7.92,0.99782158,-0.03958225
7.93,0.997112,-0.0455671
7.94,0.9963027,-0.0515474
7.95,0.99539378,-0.05752254
7.96,0.99438532,-0.06349192
7.97,0.99327742,-0.06945496
7.98,0.99207019,-0.07541105
7.99,0.99076376,-0.0813596
8.0,0.98935825,-0.08730002
8.01,0.9878538,-0.09323171
8.02,0.98625057,-0.09915407
8.03,0.98454872,-0.10506652
8.04,0.98274842,-0.11096846
8.05,0.98084984,-0.1168593
8.06,0.97885317,-0.12273846
8.07,0.97675862,-0.12860534
8.08,0.9745664,-0.13445937
8.09,0.97227672,-0.14029994
8.1,0.96988981,-0.14612649
8.11,0.96740592,-0.15193843
8.12,0.96482528,-0.15773517
8.13,0.96214816,-0.16351614
8.14,0.95937483,-0.16928076
8.15,0.95650557,-0.17502844
8.16,0.95354065,-0.18075863
8.17,0.95048038,-0.18647074
8.18,0.94732506,-0.19216421
8.19,0.94407501,-0.19783845
8.2,0.94073056,-0.20349292
8.21,0.93729203,-0.20912703
8.22,0.93375977,-0.21474023
8.23,0.93013414,-0.22033196
8.24,0.9264155,-0.22590166
8.25,0.92260421,-0.23144876
8.26,0.91870067,-0.23697272
8.27,0.91470525,-0.24247299
8.28,0.91061837,-0.247949
8.29,0.90644042,-0.25340022
8.3,0.90217183,-0.25882611
8.31,0.89781303,-0.26422611
